id,localTime,utcTime,mag,magType,depth_km,lat,lon,place,status,dist_from_epicenter_km
SGC2026pquggs,2026-08-10 09:27,2026-08-10 14:27,2.0,MLr_1,15.0,4.848833333333333,-76.82416666666667,"Medio San Juan (Andagoya) - Chocó, Colombia",manual,67.0
SGC2026pquomq,2026-08-10 09:37,2026-08-10 14:37,2.4,MLr_1,83.0,4.528267461026246,-76.49468795837801,"Sipí - Chocó, Colombia",manual,48.7
SGC2026pqurwo,2026-08-10 09:41,2026-08-10 14:41,2.2,MLr_1,59.0,4.5018293319497396,-76.41463131860102,"Sipí - Chocó, Colombia",manual,46.3
SGC2026pquucb,2026-08-10 09:44,2026-08-10 14:44,2.0,MLr_1,47.0,4.434147721513884,-76.69137883067148,"Istmina - Chocó, Colombia",manual,71.3
SGC2026pquzax,2026-08-10 09:49,2026-08-10 14:49,2.2,MLr_1,92.0,4.434147721513884,-76.72547885290128,"Istmina - Chocó, Colombia",manual,74.1
SGC2026pqvjkv,2026-08-10 10:01,2026-08-10 15:01,3.8,MLr_1,88.0,4.844166666666666,-76.4095,"San José del Palmar - Chocó, Colombia",manual,21.2
SGC2026pqvxtl,2026-08-10 10:18,2026-08-10 15:18,2.0,MLr_1,70.0,4.228987839880194,-76.7393832806307,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,91.6
SGC2026pqwbtg,2026-08-10 10:22,2026-08-10 15:22,2.4,MLr_1,86.0,4.87725076483613,-76.36208602074547,"San José del Palmar - Chocó, Colombia",manual,15.8
SGC2026pqwemm,2026-08-10 10:26,2026-08-10 15:26,2.1,MLr_1,106.0,4.237,-76.60416666666667,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,82.3
SGC2026pqwiqm,2026-08-10 10:30,2026-08-10 15:30,2.4,MLr_1,114.0,4.441,-76.5865,"Sipí - Chocó, Colombia",manual,62.7
SGC2026pqwlho,2026-08-10 10:33,2026-08-10 15:33,2.5,MLr_1,99.0,4.866,-76.33016666666667,"San José del Palmar - Chocó, Colombia",manual,12.2
SGC2026pqwsmn,2026-08-10 10:42,2026-08-10 15:42,2.1,MLr_1,82.0,4.756692896247261,-76.44038191061989,"San José del Palmar - Chocó, Colombia",manual,27.5
