time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2026-08-10T12:34:28.125Z,4.8436,-76.2422,110.285,7.4,mww,151,19,1.515,0.86,us,us6000tjl2,2026-08-11T03:06:41.814Z,"5 km S of San José del Palmar, Colombia",earthquake,6.6,4.553,0.026,147,reviewed,us,us
2026-08-10T13:18:10.451Z,4.8971,-76.3859,98.522,5,mb,115,87,1.542,1.03,us,us6000tjm4,2026-08-10T23:37:15.284Z,"16 km W of San José del Palmar, Colombia",earthquake,5.87,8.026,0.046,154,reviewed,us,us
