time_utc,lat,lon,depth_km,mag,mag_type,region
2026-08-11 02:19:58,4.753,-76.812,0.0,2.6,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 02:53:15,4.234,-76.762,56.34,2.4,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-11 03:15:54,4.852,-76.356,89.37,2.9,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 03:26:47,4.881,-76.332,90.76,2.5,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 04:22:14,4.886,-76.337,84.98,2.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 05:12:48,4.847,-76.396,96.13,3.6,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 05:34:43,4.755,-76.494,85.68,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 05:42:26,4.985,-76.181,99.54,2.6,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 05:45:02,4.396,-76.657,89.49,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-11 05:54:36,4.877,-76.371,92.61,2.8,MLr_3,"San Jose del Palmar - Choco, Colombia"
2026-08-11 07:18:38,4.721,-76.387,84.06,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 07:52:56,4.429,-76.744,92.38,3.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-11 09:31:15,4.748,-76.489,94.69,3.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 09:53:04,4.958,-76.339,92.15,2.8,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 10:40:46,4.568,-76.644,39.01,2.1,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 11:53:24,4.323,-76.686,50.79,2.9,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-11 12:03:04,4.447,-76.704,74.7,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-11 12:17:43,4.575,-76.629,33.7,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 13:30:48,4.752,-76.103,91.22,2.3,MLr_1,"Ansermanuevo - Valle del Cauca, Colombia"
2026-08-11 14:29:25,4.846,-76.341,93.99,2.8,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 15:10:34,4.848,-76.424,89.37,3.1,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 15:43:39,4.9,-76.367,91.97,3.9,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 16:26:13,4.484,-76.68,41.32,2.1,MLr_1,"Istmina - Choco, Colombia"
2026-08-11 16:33:59,4.866,-76.408,88.1,2.7,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 16:36:50,4.223,-76.801,54.84,2.1,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-11 16:41:55,4.549,-76.663,42.48,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 17:04:48,4.814,-76.43,86.37,2.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 17:19:54,4.655,-76.681,36.24,2.1,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 17:47:23,4.751,-76.463,77.94,2.0,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 18:46:43,4.873,-76.319,88.22,2.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 20:22:32,4.537,-76.663,36.24,2.5,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 21:23:36,4.746,-76.472,84.06,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-11 21:56:16,4.418,-76.735,38.32,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-11 22:03:10,4.44,-76.732,79.09,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-11 22:24:02,4.896,-76.373,90.99,3.5,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-11 23:41:35,4.86,-76.326,80.6,2.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 01:10:05,4.829,-76.37,81.29,2.1,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 01:45:52,4.214,-76.839,52.06,2.3,MLr_1,"El Litoral del San Juan (Docordo) - Choco, Colombia"
2026-08-12 04:07:38,4.815,-76.497,50.22,3.1,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 04:09:23,4.957,-76.289,95.21,3.2,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 05:32:22,4.744,-76.112,89.37,2.2,MLr_1,"Ansermanuevo - Valle del Cauca, Colombia"
2026-08-12 06:53:25,4.765,-76.5,92.15,2.7,MLr_1,"Sipi - Choco, Colombia"
2026-08-12 08:35:00,4.865,-76.324,86.6,2.1,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 12:08:37,4.424,-76.783,43.98,2.0,MLr_1,"Istmina - Choco, Colombia"
2026-08-12 12:09:22,4.736,-76.466,86.37,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-12 14:31:18,4.469,-76.712,45.48,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-12 16:22:25,4.67,-76.728,53.56,2.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-12 17:27:51,4.797,-76.366,86.14,2.5,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 17:47:25,4.96,-76.22,92.15,2.3,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 17:51:34,4.446,-76.889,118.39,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-12 18:32:19,4.972,-76.333,91.92,3.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 18:59:29,5.095,-75.941,103.01,2.9,MLr_1,"Apia - Risaralda, Colombia"
2026-08-12 19:37:18,4.877,-76.362,88.68,3.0,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 21:24:14,4.428,-76.745,83.25,2.3,MLr_1,"Istmina - Choco, Colombia"
2026-08-12 22:37:48,4.659,-76.512,90.53,2.8,MLr_1,"Sipi - Choco, Colombia"
2026-08-12 23:09:54,4.96,-76.301,88.68,2.6,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-12 23:26:22,4.406,-76.737,42.94,2.5,MLr_1,"Istmina - Choco, Colombia"
2026-08-12 23:56:18,4.835,-76.349,76.9,2.0,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-13 00:13:20,4.524,-76.682,43.17,2.5,MLr_1,"Medio San Juan (Andagoya) - Choco, Colombia"
2026-08-13 00:36:14,4.571,-76.514,33.7,2.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-13 01:08:37,4.817,-76.187,58.25,2.6,M,"El Cairo - Valle del Cauca, Colombia"
2026-08-13 01:59:02,4.45,-76.735,44.79,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-13 03:05:33,4.802,-76.461,23.82,2.1,M,"San Jose del Palmar - Choco, Colombia"
2026-08-13 03:17:16,4.59,-76.642,39.93,2.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-13 04:31:33,4.433,-76.663,49.18,2.6,MLr_1,"Sipi - Choco, Colombia"
2026-08-13 05:43:29,4.387,-76.703,45.94,2.8,MLr_1,"Istmina - Choco, Colombia"
2026-08-13 06:03:30,4.86,-76.439,97.4,2.6,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-13 07:57:46,4.511,-76.591,101.16,2.4,MLr_1,"Sipi - Choco, Colombia"
2026-08-13 08:08:01,4.833,-76.336,94.23,2.4,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-13 11:11:20,4.444,-76.767,40.63,2.1,MLr_1,"Istmina - Choco, Colombia"
